Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501BS70001,525130,180050,-0.198465,51.505538,1,3,1,1,12/01/2015,2,18:45,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002825
201501BS70002,526530,178560,-0.178838,51.491836,1,3,1,1,12/01/2015,2,07:50,12,E09000020,6,0,6,30,3,4,3,3218,0,0,1,1,1,0,0,1,1,E01002820
201501BS70004,524610,181080,-0.205590,51.514910,1,3,1,1,12/01/2015,2,18:08,12,E09000020,4,415,6,30,2,4,6,0,0,1,4,2,2,0,0,1,1,E01002833
201501BS70005,524420,181080,-0.208327,51.514952,1,3,1,1,13/01/2015,3,07:40,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,2,0,0,1,2,E01002874
201501BS70008,524630,179040,-0.206022,51.496572,1,2,2,1,09/01/2015,6,07:30,12,E09000020,3,315,6,30,6,2,3,3220,0,5,1,2,2,0,0,1,2,E01002814
201501BS70009,525480,179530,-0.193610,51.500788,1,3,2,1,15/01/2015,5,09:56,12,E09000020,3,315,6,30,3,4,5,0,0,4,1,1,2,0,0,1,1,E01002816
201501BS70010,526890,178940,-0.173519,51.495171,1,3,2,1,15/01/2015,5,09:09,12,E09000020,3,3218,6,30,6,2,3,3218,0,5,1,8,2,0,0,1,1,E01002821
201501BS70011,527590,178660,-0.163542,51.492497,1,3,2,1,18/01/2015,1,15:30,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002861
201501BS70012,524170,180930,-0.211980,51.513659,1,3,2,1,16/01/2015,6,06:20,12,E09000020,5,0,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002879
201501BS70013,525010,181200,-0.199786,51.515900,1,3,2,2,20/01/2015,3,15:44,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,8,1,0,0,1,1,E01002832
201501BS70014,523850,181450,-0.216407,51.518402,1,3,2,1,23/01/2015,6,22:39,12,E09000020,4,412,1,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002909
201501BS70015,526110,179650,-0.184495,51.501726,1,3,1,2,22/01/2015,5,08:10,1,E09000033,3,315,6,30,3,2,4,325,0,5,1,1,1,0,0,1,1,E01002891
201501BS70016,526970,178510,-0.172522,51.491289,1,3,2,1,21/01/2015,4,18:05,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002914
201501BS70017,525350,178640,-0.195797,51.492818,1,3,1,1,21/01/2015,4,13:38,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002847
201501BS70018,527370,178170,-0.166886,51.488143,1,3,1,1,23/01/2015,6,10:57,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002899
201501BS70019,527370,178180,-0.166882,51.488233,1,3,1,1,23/01/2015,6,17:15,12,E09000020,3,3217,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002899
201501BS70020,524020,181050,-0.214099,51.514770,1,3,2,1,23/01/2015,6,13:34,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
201501BS70022,526200,177720,-0.183889,51.484361,1,3,2,1,25/01/2015,1,01:50,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01002912
201501BS70023,524450,181560,-0.207725,51.519259,1,3,1,1,24/01/2015,7,16:16,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002855
201501BS70024,526940,178480,-0.172964,51.491026,1,3,2,1,23/01/2015,6,15:25,12,E09000020,3,308,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002914
201501BS70026,527600,179480,-0.163102,51.499864,1,2,1,1,23/01/2015,6,23:25,12,E09000020,3,4,3,30,3,4,3,4,0,4,4,2,2,0,0,1,1,E01002819
201501BS70027,525560,178170,-0.192941,51.488548,1,3,1,1,20/01/2015,3,17:20,12,E09000020,3,3218,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,2,E01002846
201501BS70029,525510,178130,-0.193675,51.488199,1,3,2,1,20/01/2015,3,15:15,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002894
201501BS70030,523910,181390,-0.215564,51.517850,1,3,2,2,28/01/2015,4,09:36,12,E09000020,6,0,1,30,1,4,4,412,0,0,1,2,2,0,0,1,1,E01002878
201501BS70033,526090,177600,-0.185515,51.483307,1,3,2,2,30/01/2015,6,01:46,12,E09000020,3,3220,6,30,6,2,3,308,0,5,4,1,1,0,0,1,1,E01002912
201501BS70034,527560,179160,-0.163793,51.496997,1,3,1,1,29/01/2015,5,19:00,12,E09000020,5,0,6,30,6,2,4,319,0,5,4,1,1,0,0,1,1,E01002818
201501BS70035,527950,178890,-0.158276,51.494483,1,3,1,1,29/01/2015,5,17:10,12,E09000020,3,3216,6,30,6,4,6,0,0,1,4,1,1,0,0,1,1,E01002859
201501BS70036,525390,180190,-0.194671,51.506739,1,3,1,1,30/01/2015,6,07:50,12,E09000020,3,4204,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002827
201501BS70037,527350,177640,-0.167365,51.483385,1,3,2,1,01/02/2015,1,13:00,12,E09000020,3,3031,6,30,6,2,3,3212,0,5,1,1,2,0,0,1,1,E01002844
201501BS70038,527340,178160,-0.167321,51.488060,1,3,1,1,30/01/2015,6,23:10,12,E09000020,3,3217,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002899
201501BS70039,526970,177510,-0.172881,51.482302,1,3,2,1,31/01/2015,7,00:10,12,E09000020,3,3212,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002845
201501BS70040,525200,180440,-0.197319,51.509028,1,3,1,1,01/02/2015,1,16:00,12,E09000020,3,402,6,30,3,2,3,4206,0,5,1,1,1,0,0,1,1,E01002884
201501BS70042,527780,179690,-0.160434,51.501711,1,3,1,1,31/01/2015,7,21:06,1,E09000033,3,4,6,30,3,2,3,3216,0,5,4,1,1,0,0,1,1,E01002818
201501BS70043,523920,179920,-0.215936,51.504636,1,2,2,1,30/01/2015,6,18:40,11,E09000013,3,3220,1,30,1,2,3,402,0,5,4,1,1,0,0,1,2,E01002869
201501BS70044,523900,182330,-0.215377,51.526300,1,3,1,1,31/01/2015,7,14:00,12,E09000020,4,450,6,30,3,4,5,0,0,0,1,2,2,0,0,1,1,E01002852
201501BS70045,526080,177790,-0.185591,51.485017,1,3,2,1,30/01/2015,6,16:30,12,E09000020,3,3220,2,30,6,4,6,0,0,1,1,1,1,0,0,1,2,E01002893
201501BS70046,527530,177670,-0.164763,51.483614,1,3,3,3,03/02/2015,3,14:10,12,E09000020,3,3212,6,30,3,2,4,302,0,5,1,1,1,0,0,2,1,E01002900
201501BS70047,527860,179720,-0.159271,51.501962,1,3,2,1,04/02/2015,4,11:30,1,E09000033,3,4,3,30,3,4,6,0,0,5,1,1,1,0,0,1,1,E01002818
201501BS70048,526270,177780,-0.182860,51.484885,1,3,2,1,04/02/2015,4,12:30,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002912
201501BS70049,527370,178660,-0.166709,51.492547,1,2,1,1,22/01/2015,5,22:30,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01002858
201501BS70050,527420,178640,-0.165997,51.492356,1,3,2,1,04/02/2015,4,14:05,12,E09000020,5,0,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002858
201501BS70051,524010,181580,-0.214056,51.519535,1,3,2,1,04/02/2015,4,19:50,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002909
201501BS70052,524620,181080,-0.205446,51.514908,1,3,2,1,29/01/2015,5,20:00,12,E09000020,6,0,1,30,2,4,4,415,0,0,4,1,1,0,0,1,2,E01002833
201501BS70053,526670,178190,-0.176955,51.488480,1,3,2,1,07/02/2015,7,09:45,12,E09000020,3,308,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002910
201501BS70055,527920,179050,-0.158650,51.495928,1,3,2,1,08/02/2015,1,23:05,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002863
201501BS70056,523110,181540,-0.227035,51.519372,1,3,2,1,05/02/2015,5,08:35,11,E09000013,4,412,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01001874
201501BS70057,525540,179380,-0.192799,51.499426,1,3,2,1,05/02/2015,5,16:30,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002816
201501BS70058,526940,177450,-0.173334,51.481769,1,3,1,1,06/02/2015,6,08:52,12,E09000020,3,3220,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002840
201501BS70060,525230,180630,-0.196819,51.510729,1,3,2,1,06/02/2015,6,13:27,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002884
201501BS70061,525520,179460,-0.193059,51.500150,1,3,2,1,09/02/2015,2,21:16,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002816
201501BS70062,527970,178900,-0.157984,51.494568,1,2,1,1,21/01/2015,4,11:00,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002859
201501BS70065,527140,178020,-0.170251,51.486847,1,3,2,1,10/02/2015,3,20:40,12,E09000020,3,3217,6,30,3,2,4,304,0,5,4,1,1,0,0,1,1,E01002844
201501BS70066,523530,181040,-0.221160,51.514787,1,3,2,2,10/02/2015,3,15:56,11,E09000013,3,40,3,50,1,2,3,3220,0,5,1,1,1,0,0,1,1,E01002877
201501BS70067,526590,178100,-0.178139,51.487689,1,3,2,1,10/02/2015,3,08:50,12,E09000020,3,308,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002911
